test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,publisher_throughput,00:00:15,global information,150,150,0,10,0.76,2.19,9.87,1.88,2.64,4.86,8.22,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,end_to_end_throughput,00:00:20,global information,400,400,0,20,0.51,1.85,14.68,1.52,2.03,3.99,8.24,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,publisher_latency,00:00:15,global information,150,150,0,10,0.62,2.18,13.28,1.95,2.54,4.16,9.54,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
