test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,publisher_throughput,00:00:15,global information,150,150,0,10,0.23,2.85,10.09,2.57,3.73,5.8,8.86,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,end_to_end_throughput_20,00:01:00,global information,1200,1200,0,20,0.17,2.14,15.69,1.8,2.74,4.75,7.96,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,end_to_end_throughput_40,00:01:00,global information,2400,2400,0,40,0.17,2.01,13.31,1.65,2.58,4.69,7.2,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,end_to_end_throughput_100,00:01:00,global information,6000,6000,0,100,0.13,1.83,13.31,1.45,2.34,4.36,7.36,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,publisher_latency,00:00:15,global information,150,150,0,10,0.36,2.66,9.44,2.04,3.28,7.45,8.09,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
