Row Labels;Sum of msgs_per_sec;;
2026-01-17T16:00:43.5749716Z;4914;;4914
2026-01-17T16:00:44.5971179Z;5138;;5138
2026-01-17T16:00:45.6114850Z;4865;;4865
2026-01-17T16:00:46.6174827Z;5033;;5033
2026-01-17T16:00:47.6175057Z;4893;;4893
2026-01-17T16:00:48.6190560Z;5298;;5298
2026-01-17T16:00:49.6190920Z;5124;;5124
2026-01-17T16:00:50.6237271Z;4724;;4724
2026-01-17T16:00:51.6240852Z;5467;;5467
2026-01-17T16:00:52.6424270Z;4728;;4728
2026-01-17T16:00:53.6768027Z;5032;;5032
2026-01-17T16:00:54.6774784Z;5091;;5091
2026-01-17T16:00:55.6778987Z;4572;;4572
2026-01-17T16:00:56.6815241Z;5496;;5496
2026-01-17T16:00:57.7143460Z;5306;;5306
2026-01-17T16:00:58.7451797Z;4762;;4762
2026-01-17T16:00:59.7462650Z;5679;;5679
2026-01-17T16:01:00.7763236Z;5121;;5121
2026-01-17T16:01:01.7766553Z;5174;;5174
2026-01-17T16:01:02.8030029Z;5559;;5559
2026-01-17T16:01:03.8358186Z;5408;;5408
2026-01-17T16:01:04.8473735Z;4435;;4435
2026-01-17T16:01:05.8646066Z;4782;;4782
2026-01-17T16:01:06.8725042Z;4601;;4601
2026-01-17T16:01:07.8802861Z;4923;;4923
2026-01-17T16:01:08.8881067Z;5156;;5156
2026-01-17T16:01:09.9210030Z;5415;;5415
2026-01-17T16:01:10.9268531Z;5018;;5018
2026-01-17T16:01:11.9260884Z;4822;;4822
2026-01-17T16:01:12.9391309Z;4965;;4965
2026-01-17T16:01:13.9397106Z;4965;;4965
2026-01-17T16:01:14.9399949Z;5543;;5543
2026-01-17T16:01:15.9399946Z;4463;;4463
2026-01-17T16:01:16.9418911Z;5013;;5013
2026-01-17T16:01:17.9508811Z;4994;;4994
2026-01-17T16:01:18.9559952Z;5605;;5605
2026-01-17T16:01:19.9573123Z;4929;;4929
2026-01-17T16:01:20.9628201Z;5062;;5062
2026-01-17T16:01:21.9685114Z;5082;;5082
2026-01-17T16:01:22.9789139Z;5333;;5333
2026-01-17T16:01:23.9789962Z;5273;;5273
2026-01-17T16:01:24.9915464Z;4914;;4914
2026-01-17T16:01:25.9948576Z;5393;;5393
2026-01-17T16:01:27.0034296Z;4526;;4526
2026-01-17T16:01:28.0111032Z;5781;;5781
2026-01-17T16:01:29.0186339Z;4962;;4962
2026-01-17T16:01:30.0226007Z;4995;;4995
2026-01-17T16:01:31.0293377Z;5103;;5103
2026-01-17T16:01:32.0308369Z;4811;;4811
2026-01-17T16:01:33.0346449Z;5448;;5448
2026-01-17T16:01:34.0353906Z;5039;;5039
2026-01-17T16:01:35.0478424Z;5015;;5015
2026-01-17T16:01:36.0541305Z;5076;;5076
2026-01-17T16:01:37.0664987Z;4961;;4961
2026-01-17T16:01:38.0678386Z;4989;;4989
2026-01-17T16:01:39.0713996Z;5027;;5027
2026-01-17T16:01:40.0803983Z;5024;;5024
2026-01-17T16:01:41.0815439Z;5031;;5031
2026-01-17T16:01:42.0906967Z;4868;;4868
2026-01-17T16:01:43.1056632Z;5077;;5077
2026-01-17T16:01:44.1080353Z;4981;;4981
2026-01-17T16:01:45.1106967Z;5095;;5095
2026-01-17T16:01:46.1153657Z;4898;;4898
2026-01-17T16:01:47.1224918Z;4899;;4899
2026-01-17T16:01:48.1246867Z;4687;;4687
2026-01-17T16:01:49.1260744Z;5383;;5383
2026-01-17T16:01:50.1309922Z;5062;;5062
2026-01-17T16:01:51.1387630Z;4826;;4826
2026-01-17T16:01:52.1489186Z;5026;;5026
2026-01-17T16:01:53.1544236Z;5087;;5087
2026-01-17T16:01:54.1573609Z;4971;;4971
2026-01-17T16:01:55.1610235Z;1855;;1855
2026-01-17T16:01:56.1660374Z;8152;;8152
2026-01-17T16:01:57.1722094Z;5008;;5008
2026-01-17T16:01:58.1743336Z;3492;;3492
2026-01-17T16:01:59.1892065Z;6508;;6508
2026-01-17T16:02:00.1948446Z;4995;;4995
2026-01-17T16:02:01.2205347Z;5004;;5004
2026-01-17T16:02:02.2616351Z;3721;;3721
2026-01-17T16:02:03.3606874Z;6444;;6444
2026-01-17T16:02:04.4032284Z;5281;;5281
2026-01-17T16:02:05.4799676Z;4817;;4817
2026-01-17T16:02:06.5263278Z;5420;;5420
2026-01-17T16:02:07.5289104Z;5059;;5059
2026-01-17T16:02:08.5385303Z;5246;;5246
2026-01-17T16:02:09.5473771Z;4548;;4548
2026-01-17T16:02:10.5536507Z;5054;;5054
2026-01-17T16:02:11.5975366Z;5348;;5348
2026-01-17T16:02:12.6070502Z;4702;;4702
2026-01-17T16:02:13.6728065Z;5534;;5534
2026-01-17T16:02:14.6737782Z;5243;;5243
2026-01-17T16:02:15.6762836Z;5208;;5208
2026-01-17T16:02:16.7514757Z;4798;;4798
2026-01-17T16:02:17.8120439Z;5269;;5269
2026-01-17T16:02:18.8673044Z;5500;;5500
2026-01-17T16:02:19.8803142Z;5148;;5148
2026-01-17T16:02:20.8863872Z;5089;;5089
2026-01-17T16:02:21.9527883Z;5310;;5310
2026-01-17T16:02:22.9533857Z;3943;;3943
2026-01-17T16:02:23.9866868Z;5432;;5432
2026-01-17T16:02:24.9919656Z;6220;;6220
2026-01-17T16:02:26.2462756Z;3925;;3925
2026-01-17T16:02:27.2716759Z;7638;;7638
2026-01-17T16:02:28.3200731Z;5289;;5289
2026-01-17T16:02:29.3673051Z;5074;;5074
2026-01-17T16:02:30.4138203Z;4995;;4995
2026-01-17T16:02:31.4664184Z;4975;;4975
2026-01-17T16:02:32.4939017Z;5351;;5351
2026-01-17T16:02:33.4952389Z;4712;;4712
2026-01-17T16:02:34.5473923Z;5083;;5083
2026-01-17T16:02:35.5882107Z;5545;;5545
2026-01-17T16:02:36.6441492Z;4692;;4692
2026-01-17T16:02:37.6458538Z;5921;;5921
2026-01-17T16:02:38.6927058Z;4912;;4912
2026-01-17T16:02:39.7298720Z;5471;;5471
2026-01-17T16:02:40.8538777Z;3413;;3413
2026-01-17T16:02:41.9178146Z;7101;;7101
2026-01-17T16:02:42.9183856Z;4443;;4443
2026-01-17T16:02:43.9218001Z;5883;;5883
2026-01-17T16:02:44.9235300Z;5100;;5100
2026-01-17T16:02:45.9264817Z;3680;;3680
2026-01-17T16:02:46.9685501Z;4596;;4596
2026-01-17T16:02:47.9781458Z;6488;;6488
2026-01-17T16:02:49.0054250Z;5009;;5009
2026-01-17T16:02:50.0099286Z;5370;;5370
2026-01-17T16:02:51.0149259Z;2235;;2235
2026-01-17T16:02:52.0229037Z;6168;;6168
2026-01-17T16:02:53.0265617Z;7931;;7931
2026-01-17T16:02:54.0268053Z;4356;;4356
2026-01-17T16:02:55.0296845Z;5793;;5793
2026-01-17T16:02:56.0337710Z;4744;;4744
2026-01-17T16:02:57.0373511Z;5070;;5070
2026-01-17T16:02:58.0371202Z;4919;;4919
2026-01-17T16:02:59.0437755Z;4914;;4914
2026-01-17T16:03:00.0527078Z;5745;;5745
2026-01-17T16:03:01.0552599Z;4330;;4330
2026-01-17T16:03:02.0591085Z;5441;;5441
2026-01-17T16:03:03.0617090Z;1497;;1497
2026-01-17T16:03:04.0682627Z;8351;;8351
2026-01-17T16:03:05.0716717Z;5557;;5557
2026-01-17T16:03:06.0842073Z;4808;;4808
2026-01-17T16:03:07.0882977Z;2175;;2175
2026-01-17T16:03:08.0971267Z;7842;;7842
2026-01-17T16:03:09.1039037Z;4821;;4821
2026-01-17T16:03:10.1072141Z;4011;;4011
2026-01-17T16:03:11.1081592Z;6230;;6230
2026-01-17T16:03:12.1099290Z;2620;;2620
2026-01-17T16:03:13.1118322Z;7540;;7540
2026-01-17T16:03:14.1166204Z;4940;;4940
2026-01-17T16:03:15.1235895Z;4903;;4903
2026-01-17T16:03:16.1233966Z;5020;;5020
2026-01-17T16:03:17.1321031Z;5079;;5079
2026-01-17T16:03:18.1369798Z;4901;;4901
2026-01-17T16:03:19.1389237Z;5042;;5042
2026-01-17T16:03:20.1387733Z;5069;;5069
2026-01-17T16:03:21.1392723Z;4957;;4957
2026-01-17T16:03:22.1398800Z;4886;;4886
2026-01-17T16:03:23.1411059Z;5139;;5139
2026-01-17T16:03:24.1472634Z;4959;;4959
2026-01-17T16:03:25.1488966Z;4988;;4988
2026-01-17T16:03:26.1641130Z;4982;;4982
2026-01-17T16:03:27.1647464Z;5068;;5068
2026-01-17T16:03:28.1707365Z;1004;;1004
2026-01-17T16:03:29.1732725Z;9036;;9036
2026-01-17T16:03:30.1761034Z;4957;;4957
2026-01-17T16:03:31.1870970Z;3451;;3451
2026-01-17T16:03:32.1881875Z;6523;;6523
2026-01-17T16:03:33.1886704Z;5077;;5077
2026-01-17T16:03:34.2051063Z;4884;;4884
2026-01-17T16:03:35.2190733Z;4932;;4932
2026-01-17T16:03:36.3843170Z;5115;;5115
2026-01-17T16:03:37.4138844Z;5341;;5341
2026-01-17T16:03:38.4507428Z;5226;;5226
2026-01-17T16:03:39.4944651Z;4843;;4843
2026-01-17T16:03:40.5885161Z;4982;;4982
2026-01-17T16:03:41.6018150Z;5035;;5035
2026-01-17T16:03:42.6651133Z;5887;;5887
2026-01-17T16:03:43.6705539Z;4624;;4624
2026-01-17T16:03:44.6742979Z;4179;;4179
2026-01-17T16:03:45.7338645Z;2900;;2900
2026-01-17T16:03:46.7423957Z;7758;;7758
2026-01-17T16:03:47.7446129Z;5567;;5567
2026-01-17T16:03:48.7567905Z;5554;;5554
2026-01-17T16:03:49.7902901Z;5043;;5043
2026-01-17T16:03:50.8311026Z;5219;;5219
2026-01-17T16:03:51.8912622Z;5066;;5066
2026-01-17T16:03:52.9382025Z;5460;;5460
2026-01-17T16:03:53.9721407Z;4948;;4948
2026-01-17T16:03:54.9723426Z;5123;;5123
2026-01-17T16:03:55.9852220Z;5029;;5029
2026-01-17T16:03:56.9864970Z;5838;;5838
2026-01-17T16:03:57.9903831Z;4120;;4120
2026-01-17T16:03:58.9976009Z;5735;;5735
2026-01-17T16:04:00.0016805Z;5033;;5033
2026-01-17T16:04:01.0022170Z;5016;;5016
2026-01-17T16:04:02.0201199Z;4407;;4407
2026-01-17T16:04:03.0303403Z;4649;;4649
2026-01-17T16:04:04.0372894Z;5987;;5987
2026-01-17T16:04:05.0400704Z;6111;;6111
2026-01-17T16:04:06.0440424Z;4790;;4790
2026-01-17T16:04:07.0444848Z;5019;;5019
2026-01-17T16:04:08.0565111Z;5515;;5515
2026-01-17T16:04:09.0564993Z;4969;;4969
2026-01-17T16:04:10.0613996Z;5065;;5065
2026-01-17T16:04:11.0625091Z;4645;;4645
2026-01-17T16:04:12.0668104Z;3798;;3798
2026-01-17T16:04:13.0740488Z;3466;;3466
2026-01-17T16:04:14.0740267Z;8090;;8090
2026-01-17T16:04:15.0754729Z;4584;;4584
2026-01-17T16:04:16.0896478Z;5417;;5417
2026-01-17T16:04:17.0991436Z;4959;;4959
2026-01-17T16:04:18.0997871Z;176;;176
2026-01-17T16:04:19.1792284Z;1878;;1878
2026-01-17T16:04:20.1796010Z;7409;;7409
2026-01-17T16:04:21.1796672Z;10566;;10566
2026-01-17T16:04:22.1793636Z;5072;;5072
2026-01-17T16:04:23.1793565Z;4893;;4893
2026-01-17T16:04:24.1817819Z;4920;;4920
2026-01-17T16:04:25.1820555Z;4990;;4990
2026-01-17T16:04:26.1818223Z;5115;;5115
2026-01-17T16:04:27.1819181Z;5037;;5037
2026-01-17T16:04:28.1844482Z;4903;;4903
2026-01-17T16:04:29.1873372Z;236;;236
2026-01-17T16:04:30.1949497Z;726;;726
2026-01-17T16:04:31.2572259Z;2213;;2213
2026-01-17T16:04:32.2986896Z;10726;;10726
2026-01-17T16:04:33.3342781Z;10733;;10733
2026-01-17T16:04:34.3470613Z;5607;;5607
2026-01-17T16:04:35.4433032Z;4991;;4991
2026-01-17T16:04:36.4876014Z;5223;;5223
2026-01-17T16:04:37.5656345Z;4966;;4966
2026-01-17T16:04:38.6242265Z;5965;;5965
2026-01-17T16:04:39.7347895Z;3919;;3919
2026-01-17T16:04:40.7347089Z;6547;;6547
2026-01-17T16:04:41.8432463Z;3494;;3494
2026-01-17T16:04:42.8934988Z;7286;;7286
2026-01-17T16:04:44.1550349Z;2673;;2673
2026-01-17T16:04:45.1558657Z;9259;;9259
2026-01-17T16:04:46.1559015Z;5378;;5378
2026-01-17T16:04:47.1573234Z;5143;;5143
2026-01-17T16:04:48.1637503Z;4760;;4760
2026-01-17T16:04:49.1651576Z;5197;;5197
2026-01-17T16:04:50.1665403Z;4986;;4986
2026-01-17T16:04:51.1729687Z;4992;;4992
2026-01-17T16:04:52.1735675Z;5047;;5047
2026-01-17T16:04:53.1755429Z;4980;;4980
2026-01-17T16:04:54.1890224Z;5037;;5037
2026-01-17T16:04:55.1899078Z;4986;;4986
2026-01-17T16:04:56.1920040Z;4977;;4977
2026-01-17T16:04:57.1978380Z;5010;;5010
2026-01-17T16:04:58.2545561Z;4976;;4976
2026-01-17T16:04:59.4550764Z;5100;;5100
2026-01-17T16:05:00.4595248Z;5112;;5112
2026-01-17T16:05:01.6007594Z;4982;;4982
2026-01-17T16:05:02.6508107Z;5933;;5933
2026-01-17T16:05:03.6604287Z;5066;;5066
2026-01-17T16:05:04.6669599Z;5215;;5215
2026-01-17T16:05:05.7068381Z;5252;;5252
2026-01-17T16:05:06.7154305Z;4941;;4941
2026-01-17T16:05:07.7202325Z;4745;;4745
2026-01-17T16:05:08.7269268Z;5313;;5313
2026-01-17T16:05:09.7318683Z;4791;;4791
2026-01-17T16:05:10.8269156Z;4013;;4013
2026-01-17T16:05:11.8382431Z;6388;;6388
2026-01-17T16:05:12.8891247Z;4869;;4869
2026-01-17T16:05:13.8984323Z;5618;;5618
2026-01-17T16:05:14.9789420Z;3488;;3488
2026-01-17T16:05:15.9868593Z;7180;;7180
2026-01-17T16:05:17.0125437Z;4702;;4702
2026-01-17T16:05:18.0221620Z;2493;;2493
2026-01-17T16:05:19.0382334Z;5329;;5329
2026-01-17T16:05:20.0475151Z;8776;;8776
2026-01-17T16:05:21.0547029Z;4452;;4452
2026-01-17T16:05:22.0545557Z;5876;;5876
2026-01-17T16:05:23.0564834Z;1371;;1371
2026-01-17T16:05:24.0991383Z;4529;;4529
2026-01-17T16:05:25.1016218Z;8141;;8141
2026-01-17T16:05:26.1016382Z;6344;;6344
2026-01-17T16:05:27.1079664Z;3729;;3729
2026-01-17T16:05:28.1078503Z;6325;;6325
2026-01-17T16:05:29.1079371Z;4885;;4885
2026-01-17T16:05:30.1082734Z;5044;;5044
2026-01-17T16:05:31.1150561Z;5012;;5012
2026-01-17T16:05:32.1221029Z;4978;;4978
2026-01-17T16:05:33.1281702Z;4993;;4993
2026-01-17T16:05:34.1332112Z;4603;;4603
2026-01-17T16:05:35.1340526Z;5280;;5280
2026-01-17T16:05:36.1392263Z;5043;;5043
2026-01-17T16:05:37.1404514Z;5133;;5133
2026-01-17T16:05:38.1427995Z;4921;;4921
2026-01-17T16:05:39.1569634Z;4883;;4883
2026-01-17T16:05:40.1573646Z;5255;;5255
2026-01-17T16:05:41.1655322Z;4985;;4985
2026-01-17T16:05:42.1721871Z;4902;;4902
2026-01-17T16:05:43.1723627Z;5077;;5077
2026-01-17T16:05:44.1806031Z;4954;;4954
2026-01-17T16:05:45.1887374Z;5039;;5039
2026-01-17T16:05:46.1904016Z;5011;;5011
2026-01-17T16:05:47.2038009Z;4895;;4895
2026-01-17T16:05:48.2424155Z;5113;;5113
2026-01-17T16:05:49.2774567Z;5005;;5005
2026-01-17T16:05:50.2780368Z;4954;;4954
2026-01-17T16:05:51.3447075Z;3728;;3728
2026-01-17T16:05:52.3939794Z;6638;;6638
2026-01-17T16:05:53.4436200Z;4894;;4894
2026-01-17T16:05:54.4665542Z;5074;;5074
2026-01-17T16:05:55.4679497Z;5227;;5227
2026-01-17T16:05:56.4810561Z;4477;;4477
2026-01-17T16:05:57.5167466Z;5595;;5595
2026-01-17T16:05:58.5824908Z;4850;;4850
2026-01-17T16:05:59.5840001Z;5304;;5304
2026-01-17T16:06:00.5973703Z;4348;;4348
2026-01-17T16:06:01.5985765Z;5901;;5901
2026-01-17T16:06:02.6041512Z;4479;;4479
2026-01-17T16:06:03.6116320Z;5639;;5639
2026-01-17T16:06:04.6257458Z;5018;;5018
2026-01-17T16:06:05.6787827Z;4966;;4966
2026-01-17T16:06:06.7160025Z;5446;;5446
2026-01-17T16:06:07.7208630Z;4890;;4890
2026-01-17T16:06:08.7311667Z;5057;;5057
2026-01-17T16:06:09.7715585Z;5086;;5086
2026-01-17T16:06:10.8103749Z;5652;;5652
2026-01-17T16:06:11.8614987Z;4662;;4662
2026-01-17T16:06:12.8616279Z;4562;;4562
2026-01-17T16:06:13.8962363Z;6126;;6126
2026-01-17T16:06:14.8990258Z;4696;;4696
2026-01-17T16:06:15.9463908Z;4681;;4681
2026-01-17T16:06:16.9564916Z;5134;;5134
2026-01-17T16:06:17.9589317Z;5832;;5832
2026-01-17T16:06:18.9633702Z;4825;;4825
2026-01-17T16:06:19.9673542Z;4691;;4691
2026-01-17T16:06:20.9722068Z;5697;;5697
2026-01-17T16:06:21.9713888Z;4381;;4381
2026-01-17T16:06:22.9767145Z;3706;;3706
2026-01-17T16:06:23.9799977Z;6448;;6448
2026-01-17T16:06:24.9809077Z;5479;;5479
2026-01-17T16:06:26.0034184Z;3725;;3725
2026-01-17T16:06:27.0104173Z;6993;;6993
2026-01-17T16:06:28.0193997Z;4928;;4928
2026-01-17T16:06:29.0267396Z;3760;;3760
2026-01-17T16:06:30.0347230Z;6762;;6762
2026-01-17T16:06:31.0498325Z;2682;;2682
2026-01-17T16:06:32.0496055Z;7848;;7848
2026-01-17T16:06:33.0572641Z;3794;;3794
2026-01-17T16:06:34.0623423Z;1518;;1518
2026-01-17T16:06:35.0694651Z;6289;;6289
2026-01-17T16:06:36.0735304Z;8423;;8423
2026-01-17T16:06:37.0752906Z;372;;372
2026-01-17T16:06:38.0794391Z;8961;;8961
2026-01-17T16:06:39.0825692Z;5595;;5595
2026-01-17T16:06:40.0829154Z;5150;;5150
2026-01-17T16:06:41.0849915Z;4864;;4864
2026-01-17T16:06:42.0950168Z;5019;;5019
2026-01-17T16:06:43.0984039Z;5109;;5109
2026-01-17T16:06:44.1058539Z;5027;;5027
2026-01-17T16:06:45.1070883Z;5007;;5007
2026-01-17T16:06:46.1067674Z;4949;;4949
2026-01-17T16:06:47.1072079Z;5044;;5044
2026-01-17T16:06:48.1148962Z;4854;;4854
2026-01-17T16:06:49.1224476Z;5095;;5095
2026-01-17T16:06:50.1319856Z;4921;;4921
2026-01-17T16:06:51.1380808Z;5075;;5075
2026-01-17T16:06:52.1402029Z;5015;;5015
2026-01-17T16:06:53.1431706Z;4835;;4835
2026-01-17T16:06:54.1499379Z;5161;;5161
2026-01-17T16:06:55.1555124Z;4970;;4970
2026-01-17T16:06:56.1561886Z;5069;;5069
2026-01-17T16:06:57.1693729Z;3399;;3399
2026-01-17T16:06:58.1696792Z;6578;;6578
2026-01-17T16:06:59.1711278Z;5045;;5045
2026-01-17T16:07:00.1719070Z;5010;;5010
2026-01-17T16:07:01.1806806Z;4800;;4800
2026-01-17T16:07:02.1820654Z;5230;;5230
2026-01-17T16:07:03.1827343Z;4951;;4951
2026-01-17T16:07:04.1847972Z;5023;;5023
2026-01-17T16:07:05.1868680Z;4819;;4819
2026-01-17T16:07:06.1964929Z;5080;;5080
2026-01-17T16:07:07.1963532Z;4936;;4936
2026-01-17T16:07:08.2045962Z;4537;;4537
2026-01-17T16:07:09.2154180Z;5514;;5514
2026-01-17T16:07:10.2694837Z;5105;;5105
2026-01-17T16:07:11.3151798Z;5061;;5061
2026-01-17T16:07:12.3636813Z;5128;;5128
2026-01-17T16:07:13.3640331Z;4784;;4784
2026-01-17T16:07:14.4084608Z;5225;;5225
2026-01-17T16:07:15.4539889Z;5388;;5388
2026-01-17T16:07:16.5148465Z;4646;;4646
2026-01-17T16:07:17.5884344Z;5685;;5685
2026-01-17T16:07:18.5956593Z;4964;;4964
2026-01-17T16:07:19.6570659Z;4873;;4873
2026-01-17T16:07:20.6974867Z;5502;;5502
2026-01-17T16:07:21.7423578Z;5490;;5490
2026-01-17T16:07:22.7773323Z;5391;;5391
2026-01-17T16:07:23.7888124Z;4302;;4302
2026-01-17T16:07:24.7990800Z;4070;;4070
2026-01-17T16:07:25.8495870Z;6490;;6490
2026-01-17T16:07:26.9148267Z;5335;;5335
2026-01-17T16:07:27.9150382Z;4933;;4933
2026-01-17T16:07:28.9150430Z;3831;;3831
2026-01-17T16:07:29.9153937Z;6458;;6458
2026-01-17T16:07:30.9780096Z;4534;;4534
2026-01-17T16:07:31.9850626Z;5898;;5898
2026-01-17T16:07:32.9847993Z;4538;;4538
2026-01-17T16:07:33.9929402Z;6080;;6080
2026-01-17T16:07:35.0022728Z;4955;;4955
2026-01-17T16:07:36.0501310Z;2075;;2075
2026-01-17T16:07:37.0520260Z;8805;;8805
2026-01-17T16:07:38.0584858Z;3480;;3480
2026-01-17T16:07:39.0695856Z;6957;;6957
2026-01-17T16:07:40.0802246Z;4631;;4631
2026-01-17T16:07:41.0817684Z;3075;;3075
2026-01-17T16:07:42.0890770Z;3932;;3932
2026-01-17T16:07:43.0901992Z;8442;;8442
2026-01-17T16:07:44.0969305Z;4931;;4931
2026-01-17T16:07:45.0977778Z;5077;;5077
2026-01-17T16:07:46.1056284Z;5000;;5000
2026-01-17T16:07:47.1128155Z;4144;;4144
2026-01-17T16:07:48.1160408Z;5732;;5732
2026-01-17T16:07:49.1232483Z;4793;;4793
2026-01-17T16:07:50.1277407Z;4427;;4427
2026-01-17T16:07:51.1319586Z;5861;;5861
2026-01-17T16:07:52.1470815Z;5034;;5034
2026-01-17T16:07:53.1486575Z;4980;;4980
2026-01-17T16:07:54.1591056Z;5108;;5108
2026-01-17T16:07:55.1649938Z;4834;;4834
2026-01-17T16:07:56.1735163Z;912;;912
2026-01-17T16:07:57.1744523Z;6665;;6665
2026-01-17T16:07:58.1912577Z;7492;;7492
2026-01-17T16:07:59.2012224Z;4990;;4990
2026-01-17T16:08:00.2054521Z;5082;;5082
2026-01-17T16:08:01.2059693Z;4908;;4908
2026-01-17T16:08:02.2162737Z;5111;;5111
2026-01-17T16:08:03.2398225Z;4995;;4995
2026-01-17T16:08:04.2788235Z;5025;;5025
2026-01-17T16:08:05.3126076Z;5077;;5077
2026-01-17T16:08:06.3155134Z;5023;;5023
2026-01-17T16:08:07.3644459Z;5002;;5002
2026-01-17T16:08:08.3670941Z;4992;;4992
2026-01-17T16:08:09.4020824Z;5160;;5160
2026-01-17T16:08:10.4710756Z;4991;;4991
2026-01-17T16:08:11.4793620Z;5099;;5099
2026-01-17T16:08:12.5274624Z;5269;;5269
2026-01-17T16:08:13.5323890Z;5073;;5073
2026-01-17T16:08:14.5969405Z;5076;;5076
2026-01-17T16:08:15.6356203Z;5088;;5088
2026-01-17T16:08:16.6357950Z;5177;;5177
2026-01-17T16:08:17.6492270Z;4750;;4750
2026-01-17T16:08:18.6939836Z;5656;;5656
2026-01-17T16:08:19.7370776Z;4800;;4800
2026-01-17T16:08:20.7855657Z;5836;;5836
2026-01-17T16:08:21.8318731Z;4768;;4768
2026-01-17T16:08:22.8807515Z;4892;;4892
2026-01-17T16:08:23.9386149Z;5617;;5617
2026-01-17T16:08:24.9533968Z;5226;;5226
2026-01-17T16:08:25.9614551Z;4454;;4454
2026-01-17T16:08:26.9698755Z;5424;;5424
2026-01-17T16:08:27.9725305Z;5204;;5204
2026-01-17T16:08:28.9742402Z;5203;;5203
2026-01-17T16:08:29.9767324Z;4521;;4521
2026-01-17T16:08:30.9846665Z;5889;;5889
2026-01-17T16:08:31.9862256Z;5115;;5115
2026-01-17T16:08:32.9857143Z;4174;;4174
2026-01-17T16:08:33.9873852Z;5294;;5294
2026-01-17T16:08:34.9881958Z;4851;;4851
2026-01-17T16:08:35.9896850Z;6002;;6002
2026-01-17T16:08:37.0004388Z;3931;;3931
2026-01-17T16:08:38.0111178Z;6340;;6340
2026-01-17T16:08:39.0183233Z;4163;;4163
2026-01-17T16:08:40.0275755Z;4034;;4034
2026-01-17T16:08:41.0286779Z;6875;;6875
2026-01-17T16:08:42.0333225Z;4969;;4969
2026-01-17T16:08:43.0330131Z;5875;;5875
2026-01-17T16:08:44.0347868Z;4860;;4860
2026-01-17T16:08:45.0358262Z;4334;;4334
2026-01-17T16:08:46.0433219Z;1135;;1135
2026-01-17T16:08:47.0445573Z;5433;;5433
2026-01-17T16:08:48.0435463Z;8634;;8634
2026-01-17T16:08:49.0473487Z;4522;;4522
2026-01-17T16:08:50.0550184Z;6143;;6143
2026-01-17T16:08:51.0589105Z;4252;;4252
2026-01-17T16:08:52.0739098Z;2548;;2548
2026-01-17T16:08:53.0784369Z;8196;;8196
2026-01-17T16:08:54.0818146Z;4958;;4958
2026-01-17T16:08:55.0863956Z;3908;;3908
2026-01-17T16:08:56.0878241Z;6099;;6099
2026-01-17T16:08:57.0901889Z;5028;;5028
2026-01-17T16:08:58.0930015Z;4381;;4381
2026-01-17T16:08:59.0991803Z;5529;;5529
2026-01-17T16:09:00.0984132Z;4971;;4971
2026-01-17T16:09:01.1066394Z;4449;;4449
2026-01-17T16:09:02.1193406Z;4680;;4680
2026-01-17T16:09:03.1203733Z;5985;;5985
2026-01-17T16:09:04.1207640Z;3131;;3131
2026-01-17T16:09:05.1208767Z;6759;;6759
2026-01-17T16:09:06.1233226Z;5065;;5065
2026-01-17T16:09:07.1238058Z;4976;;4976
2026-01-17T16:09:08.1235526Z;5042;;5042
2026-01-17T16:09:09.1240230Z;4937;;4937
2026-01-17T16:09:10.1240768Z;5060;;5060
2026-01-17T16:09:11.1300189Z;3381;;3381
2026-01-17T16:09:12.1310835Z;6632;;6632
2026-01-17T16:09:13.1323743Z;4992;;4992
2026-01-17T16:09:14.1328507Z;3940;;3940
2026-01-17T16:09:15.1404637Z;6089;;6089
2026-01-17T16:09:16.1479391Z;4857;;4857
2026-01-17T16:09:17.1558277Z;5143;;5143
2026-01-17T16:09:18.1644489Z;4982;;4982
2026-01-17T16:09:19.1718059Z;4883;;4883
2026-01-17T16:09:20.1725547Z;4966;;4966
2026-01-17T16:09:21.1764442Z;5174;;5174
2026-01-17T16:09:22.2769158Z;336;;336
2026-01-17T16:09:23.3313443Z;8895;;8895
2026-01-17T16:09:24.5116852Z;5905;;5905
2026-01-17T16:09:25.5426516Z;5684;;5684
2026-01-17T16:09:26.5857465Z;4757;;4757
2026-01-17T16:09:27.6347971Z;5007;;5007
2026-01-17T16:09:28.7559535Z;5518;;5518
2026-01-17T16:09:29.8027398Z;5884;;5884
2026-01-17T16:09:30.8387455Z;5487;;5487
2026-01-17T16:09:31.8413447Z;3676;;3676
2026-01-17T16:09:32.8866379Z;6116;;6116
2026-01-17T16:09:33.8925336Z;4683;;4683
2026-01-17T16:09:34.9316053Z;5854;;5854
2026-01-17T16:09:35.9599295Z;4805;;4805
2026-01-17T16:09:36.9603811Z;4939;;4939
2026-01-17T16:09:37.9844057Z;4277;;4277
2026-01-17T16:09:38.9945799Z;6998;;6998
2026-01-17T16:09:39.9961568Z;4311;;4311
2026-01-17T16:09:40.9986602Z;5398;;5398
2026-01-17T16:09:42.0011691Z;4551;;4551
2026-01-17T16:09:43.0086080Z;5327;;5327
2026-01-17T16:09:44.0183150Z;5023;;5023
2026-01-17T16:09:45.0208327Z;4849;;4849
2026-01-17T16:09:46.0298462Z;5466;;5466
2026-01-17T16:09:47.0397514Z;4376;;4376
2026-01-17T16:09:48.0448509Z;6194;;6194
2026-01-17T16:09:49.0461121Z;1069;;1069
2026-01-17T16:09:50.0601882Z;8719;;8719
